rank,tier,name,team,position,byeWeek,strengthOfSchedule,drop,pointsAboveProjection,gamesAboveProjection
165,9,Jahan Dotson,WAS,WR62,14, 6.4,-17,-,-
166,10,Corey Davis,NYJ,WR63,10, 1.0,+17,-0.3,44% (4/9)
167,10,San Francisco 49ers,SF,DST3,9,-,+73,+0.3,50% (8/16)
168,10,Sony Michel,MIA,RB57,11, 8.2,+19,+0.5,50% (8/16)
169,10,Logan Thomas,WAS,TE23,14, 7.0,+60,-0.9,50% (3/6)
170,10,D'Onta Foreman,CAR,RB58,13, 3.2,+5,+0.5,60% (6/10)
171,10,Austin Hooper,TEN,TE24,6, 8.0,+37,-1.6,29% (5/17)
172,10,Carson Wentz,WAS,QB24,14, 7.0,+18,-0.7,56% (9/16)
173,10,Mark Ingram II,NO,RB59,14, 5.0,+6,-0.7,35% (5/14)
174,10,Indianapolis Colts,IND,DST4,14,-,+45,+1.9,56% (9/16)
175,10,Mecole Hardman,KC,WR64,8, 2.6,-21,-0.9,43% (7/16)
176,10,Darrel Williams,ARI,RB60,13, 4.4,-12,+2.1,68% (11/16)
177,10,Jared Goff,DET,QB25,6, 6.0,+17,-0.6,46% (6/13)
178,10,Zach Wilson,NYJ,QB26,10, 1.0,+43,-1.2,41% (5/12)
179,10,Nico Collins,HOU,WR65,6, 5.4,+27,-1.1,30% (4/13)
180,10,Justin Tucker,BAL,K1,10,-,-33,+0.7,52% (9/17)
181,10,Van Jefferson,LAR,WR66,7, 2.6,+8,+0.9,50% (8/16)
182,10,Robbie Anderson,CAR,WR67,13, 4.0,-6,-2.9,23% (4/17)
183,10,Jameson Williams,DET,WR68,6, 4.6,-28,-,-
184,10,New Orleans Saints,NO,DST5,14,-,+38,+1.7,37% (6/16)
185,10,New England Patriots,NE,DST6,10,-,+32,+2.9,56% (9/16)
186,10,Denver Broncos,DEN,DST7,9,-,+55,+1.2,50% (8/16)
187,10,Los Angeles Rams,LAR,DST8,7,-,+56,+0.3,50% (8/16)
188,10,Christian Watson,GB,WR69,14, 4.4,-27,-,-
189,10,Hayden Hurst,CIN,TE25,10, 3.4,+10,-0.3,50% (6/12)
190,10,K.J. Osborn,MIN,WR70,7, 2.2,-8,+1.4,43% (7/16)
191,10,Tyler Bass,BUF,K2,7,-,-11,0.0,50% (8/16)
192,10,Marvin Jones Jr.,JAC,WR71,11, 7.0,+6,-2.4,31% (5/16)
193,10,Joshua Palmer,LAC,WR72,8, 6.0,-16,+1.0,62% (10/16)
194,10,Davis Mills,HOU,QB27,6, 6.6,-6,-0.6,35% (5/14)
195,10,Zamir White,LV,RB61,6, 2.2,-10,-,-
196,10,Baker Mayfield,CAR,QB28,13, 5.6,-4,-2.9,33% (5/15)
197,10,Matt Gay,LAR,K3,7,-,-19,+1.1,68% (11/16)
198,10,Kendrick Bourne,NE,WR73,10, 5.6,+15,+3.2,50% (8/16)
199,10,Dallas Cowboys,DAL,DST9,9,-,+10,+4.8,75% (12/16)
200,10,Donovan Peoples-Jones,CLE,WR74,9, 5.6,+3,0.0,40% (6/15)
201,10,Boston Scott,PHI,RB62,7, 3.8,+49,+1.9,43% (7/16)
202,10,Jalen Tolbert,DAL,WR75,9, 5.0,-59,-,-
203,11,Los Angeles Chargers,LAC,DST10,8,-,+35,-1.0,25% (4/16)
204,11,Daniel Carlson,LV,K4,6,-,-45,+1.1,58% (10/17)
205,11,KJ Hamler,DEN,WR76,9, 7.6,-8,-2.4,33% (1/3)
206,11,Evan McPherson,CIN,K5,10,-,-41,+2.1,62% (10/16)
207,11,Green Bay Packers,GB,DST11,14,-,+60,+0.8,56% (9/16)
208,11,Parris Campbell,IND,WR77,14, 7.0,+16,+0.5,40% (2/5)
209,11,Curtis Samuel,WAS,WR78,14, 6.4,+6,-4.5,0% (0/5)
210,11,Miami Dolphins,MIA,DST12,11,-,+20,+1.8,37% (6/16)
211,11,Kenyan Drake,LV,RB63,6, 2.8,-38,-0.7,30% (4/13)
212,11,Kansas City Chiefs,KC,DST13,8,-,+33,+1.5,56% (9/16)
213,11,Jamison Crowder,BUF,WR79,7, 4.8,+13,-0.9,36% (4/11)
214,11,Chuba Hubbard,CAR,RB64,13, 3.4,-13,-1.1,29% (5/17)
215,11,Wan'Dale Robinson,NYG,WR80,9, 6.4,-34,-,-
216,11,Ryan Succop,TB,K6,11,-,+37,-0.6,31% (5/16)
217,11,Tyrion Davis-Price,SF,RB65,9, 1.8,-26,-,-
218,11,Harrison Butker,KC,K7,8,-,-51,+0.2,60% (9/15)
219,11,Deshaun Watson,CLE,QB29,9, 5.8,-51,-,-
220,11,Matt Prater,ARI,K8,13,-,-36,+1.0,50% (8/16)
221,11,Brevin Jordan,HOU,TE26,6, 2.8,-1,+1.2,40% (4/10)
222,11,A.J. Green,ARI,WR81,13, 1.6,+36,0.0,46% (7/15)
223,11,Cleveland Browns,CLE,DST14,9,-,+58,-0.3,43% (7/16)
224,11,Baltimore Ravens,BAL,DST15,10,-,+42,-1.3,23% (4/17)
225,11,Trey Sermon,SF,RB66,9, 1.0,+12,-2.3,10% (1/10)
226,11,Alec Pierce,IND,WR82,14, 6.8,-54,-,-
227,11,Samaje Perine,CIN,RB67,10, 4.0,+28,+0.2,50% (8/16)
228,11,Pittsburgh Steelers,PIT,DST16,9,-,+34,-0.9,43% (7/16)
229,11,David Bell,CLE,WR83,9, 6.6,+19,-,-
230,11,Philadelphia Eagles,PHI,DST17,7,-,+66,+0.6,43% (7/16)
231,11,Jonnu Smith,NE,TE27,10, 7.6,+4,-1.4,26% (4/15)
232,11,Isaiah McKenzie,BUF,WR84,7, 4.4,-28,+0.6,21% (3/14)
233,11,Marcus Mariota,ATL,QB30,14, 4.8,-8,+0.3,18% (2/11)
234,11,D'Ernest Johnson,CLE,RB68,9, 5.2,-16,-0.1,35% (6/17)
235,11,Rodrigo Blankenship,IND,K9,14,-,-28,+1.5,80% (4/5)
236,11,Younghoe Koo,ATL,K10,14,-,+10,-0.2,50% (8/16)
237,11,Damien Williams,ATL,RB69,14, 1.0,+28,-1.3,45% (5/11)
238,11,Laviska Shenault Jr.,JAC,WR85,11, 7.0,+9,-3.1,6% (1/16)
239,11,Jason Sanders,MIA,K11,11,-,+51,-0.6,37% (6/16)
240,11,Sterling Shepard,NYG,WR86,9, 5.8,+66,-1.5,42% (3/7)
241,11,Nick Folk,NE,K12,10,-,-8,+2.3,56% (9/16)
242,11,Jeff Wilson Jr.,SF,RB70,9, 1.0,+15,-2.5,22% (2/9)
243,11,Adam Trautman,NO,TE28,14, 6.2,+18,-0.7,33% (4/12)
244,11,Brandon McManus,DEN,K13,9,-,-33,+0.2,43% (7/16)
245,11,Mo Alie-Cox,IND,TE29,14, 4.2,+27,+0.2,37% (6/16)
246,11,Romeo Doubs,GB,WR87,14, 4.4,-90,-,-
247,11,Isiah Pacheco,KC,RB71,8, 4.4,-31,-,-
248,11,Zack Moss,BUF,RB72,7, 6.2,+59,+0.3,33% (4/12)
249,11,Mitch Trubisky,PIT,QB31,9, 4.4,-17,-0.4,13% (2/15)
250,11,Robbie Gould,SF,K14,9,-,+26,-0.2,38% (5/13)
251,11,Byron Pringle,CHI,WR88,14, 4.6,+26,+2.6,50% (8/16)
252,11,Terrace Marshall Jr.,CAR,WR89,13, 4.6,+43,-2.7,15% (2/13)
253,11,Arizona Cardinals,ARI,DST18,13,-,+40,+0.7,50% (8/16)
254,11,Cincinnati Bengals,CIN,DST19,10,-,+44,+0.2,43% (7/16)
255,11,Jake Elliott,PHI,K15,7,-,+57,+1.4,56% (9/16)
256,12,Zay Jones,JAC,WR90,11, 7.2,+7,+1.3,47% (8/17)
257,12,Dustin Hopkins,LAC,K16,8,-,-6,+1.3,68% (11/16)
258,12,Dan Arnold,JAC,TE30,11, 5.0,+115,-0.8,54% (6/11)
259,12,Mike Davis,BAL,RB73,10, 5.6,-31,-1.6,25% (4/16)
260,12,Rex Burkhead,HOU,RB74,6, 3.8,+57,+0.6,26% (4/15)
261,12,Jerick McKinnon,KC,RB75,8,-,-7,-1.0,33% (4/12)
262,12,Myles Gaskin,MIA,RB76,11, 7.8,-48,-1.7,31% (5/16)
263,12,Tennessee Titans,TEN,DST20,6,-,+12,+1.4,43% (7/16)
264,12,William Fuller V,FA,WR91,-,-,-28,-5.1,0% (0/2)
265,12,Braxton Berrios,NYJ,WR92,10, 1.0,+82,+1.5,56% (9/16)
266,12,Bryan Edwards,ATL,WR93,14, 4.8,+36,-1.3,37% (6/16)
267,12,Randall Cobb,GB,WR94,14, 3.2,+17,+0.7,33% (4/12)
268,12,C.J. Uzomah,NYJ,TE31,10, 5.0,-16,+1.0,37% (6/16)
269,12,Carolina Panthers,CAR,DST21,13,-,+18,-0.7,50% (8/16)
270,12,Greg Zuerlein,NYJ,K17,10,-,+90,-0.2,50% (8/16)
271,12,Matt Breida,NYG,RB77,9, 5.0,-12,+0.2,30% (3/10)
272,12,Minnesota Vikings,MIN,DST22,7,-,-8,+0.5,50% (8/16)
273,12,Chris Boswell,PIT,K18,9,-,+16,+1.9,56% (9/16)
274,12,Wil Lutz,NO,K19,14,-,-51,-7.3,0% (0/1)
275,12,Marquez Callaway,NO,WR95,14, 5.8,+4,+0.3,50% (8/16)
276,12,Cameron Brate,TB,TE32,11, 4.8,-74,+0.2,50% (8/16)
277,12,Sammy Watkins,GB,WR96,14, 3.2,-91,-1.9,23% (3/13)
278,12,Eno Benjamin,ARI,RB78,13, 2.8,-47,-0.8,11% (1/9)
279,12,Odell Beckham Jr.,FA,WR97,-,-,-79,-2.0,46% (6/13)
280,12,Cedrick Wilson Jr.,MIA,WR98,11, 2.2,-11,+1.8,53% (8/15)
281,12,Mason Crosby,GB,K20,14,-,+85,+0.1,43% (7/16)
282,12,Hassan Haskins,TEN,RB79,6, 6.8,-26,-,-
283,12,Chicago Bears,CHI,DST23,14,-,+43,+0.5,50% (8/16)
284,12,Phillip Lindsay,IND,RB80,14, 8.6,+85,-0.9,38% (5/13)
285,12,Ke'Shawn Vaughn,TB,RB81,11, 2.2,-41,+0.7,27% (3/11)
286,12,Washington Commanders,WAS,DST24,14,-,+29,-1.3,31% (5/16)
287,12,O.J. Howard,BUF,TE33,7, 4.6,-,-1.5,18% (3/16)
288,12,Nelson Agholor,NE,WR99,10, 5.4,+66,-1.8,28% (4/14)
289,12,Trey McBride,ARI,TE34,13, 5.2,-29,-,-
290,12,Graham Gano,NYG,K21,9,-,+98,+0.7,50% (8/16)
291,12,Jason Myers,SEA,K22,11,-,-,-1.3,18% (3/16)
