rank,tier,name,team,position,byeWeek,strengthOfSchedule,drop,pointsAboveProjection,gamesAboveProjection
33,4,Keenan Allen,LAC,WR13,8, 4.8,-5,-1.4,40% (6/15)
34,4,DJ Moore,CAR,WR14,13, 4.4,+11,-3.0,17% (3/17)
35,5,Mike Williams,LAC,WR15,8, 5.4,+14,+0.5,46% (7/15)
36,5,Breece Hall,NYJ,RB17,10, 6.6,+1,-,-
37,5,Courtland Sutton,DEN,WR16,9, 7.4,+16,-2.9,18% (3/16)
38,5,Cam Akers,LAR,RB18,7, 3.0,-9,-,-
39,5,Terry McLaurin,WAS,WR17,14, 7.0,+7,-3.0,25% (4/16)
40,5,David Montgomery,CHI,RB19,14, 9.0,-5,+0.1,50% (6/12)
41,5,Elijah Mitchell,SF,RB20,9, 1.0,+9,+3.6,70% (7/10)
42,5,Justin Herbert,LAC,QB2,8, 4.2,-6,+1.8,50% (8/16)
43,5,Jaylen Waddle,MIA,WR18,11, 2.0,-1,+0.9,46% (7/15)
44,5,DK Metcalf,SEA,WR19,11, 7.2,+4,-1.0,37% (6/16)
45,5,George Kittle,SF,TE4,9, 4.4,-4,-0.3,38% (5/13)
46,5,J.K. Dobbins,BAL,RB21,10, 5.6,+8,-,-
47,5,Brandin Cooks,HOU,WR20,6, 5.4,+11,-0.7,46% (7/15)
48,5,Travis Etienne Jr.,JAC,RB22,11, 5.6,-9,-,-
49,5,Diontae Johnson,PIT,WR21,9, 6.8,-5,+0.1,40% (6/15)
50,5,Patrick Mahomes II,KC,QB3,8, 2.8,-17,-1.7,37% (6/16)
51,5,Darren Waller,LV,TE5,6, 3.4,-4,-5.0,18% (2/11)
52,6,Allen Robinson II,LAR,WR22,7, 2.6,+12,-4.4,9% (1/11)
53,6,Gabriel Davis,BUF,WR23,7, 6.2,+16,+2.2,53% (8/15)
54,6,Lamar Jackson,BAL,QB4,10, 1.6,-3,-4.5,23% (3/13)
55,6,Marquise Brown,ARI,WR24,13, 3.2,+5,-1.3,37% (6/16)
56,6,AJ Dillon,GB,RB23,14, 5.8,-4,+1.1,47% (8/17)
57,6,Josh Jacobs,LV,RB24,6, 2.4,-14,-1.0,46% (7/15)
58,6,Antonio Gibson,WAS,RB25,14, 7.0,-18,-0.7,46% (7/15)
59,6,Jerry Jeudy,DEN,WR25,9, 7.8,+8,-3.1,22% (2/9)
60,6,Darnell Mooney,CHI,WR26,14, 4.6,+1,+0.1,50% (8/16)
61,6,Amari Cooper,CLE,WR27,9, 6.6,+2,-1.7,42% (6/14)
62,6,Kyler Murray,ARI,QB5,13, 2.2,-3,-0.3,38% (5/13)
63,6,Damien Harris,NE,RB26,10, 8.0,+7,+1.7,50% (7/14)
64,6,Dalton Schultz,DAL,TE6,9, 3.6,-2,+1.7,56% (9/16)
65,6,Jalen Hurts,PHI,QB6,7, 6.6,+1,-0.3,53% (8/15)
66,6,Elijah Moore,NYJ,WR28,10, 1.0,+11,+3.6,63% (7/11)
67,6,Rashod Bateman,BAL,WR29,10, 4.0,+19,-0.8,41% (5/12)
68,6,Michael Thomas,NO,WR30,14, 7.0,-3,-,-
69,6,Chris Godwin,TB,WR31,11, 7.8,-13,-0.5,57% (8/14)
70,6,Miles Sanders,PHI,RB27,7, 3.8,+5,-3.1,25% (3/12)
71,6,Dallas Goedert,PHI,TE7,7, 1.0,+12,-0.2,53% (8/15)
72,6,JuJu Smith-Schuster,KC,WR32,8, 2.4,+4,-4.4,20% (1/5)
73,7,Joe Burrow,CIN,QB7,10, 3.4,-16,+2.3,68% (11/16)
74,7,Adam Thielen,MIN,WR33,7, 1.8,-1,-0.8,38% (5/13)
75,7,Rashaad Penny,SEA,RB28,11, 2.6,+6,+3.3,40% (4/10)
76,7,Amon-Ra St. Brown,DET,WR34,6, 4.4,-21,+2.1,50% (8/16)
77,7,Clyde Edwards-Helaire,KC,RB29,8, 4.6,-5,-0.9,40% (4/10)
78,7,T.J. Hockenson,DET,TE8,6, 7.6,-10,-1.0,50% (6/12)
79,7,Brandon Aiyuk,SF,WR35,9, 3.6,+17,-0.7,50% (8/16)
80,7,DeVonta Smith,PHI,WR36,7, 7.4,+9,-1.4,31% (5/16)
81,7,Tom Brady,TB,QB8,11, 5.0,+6,+1.0,56% (9/16)
82,7,Chase Edmonds,MIA,RB30,11, 7.8,+3,-0.9,33% (4/12)
83,7,Russell Wilson,DEN,QB9,9, 7.4,-5,-2.1,53% (7/13)
84,7,Allen Lazard,GB,WR37,14, 4.0,+21,0.0,40% (6/15)
85,7,Kareem Hunt,CLE,RB31,9, 4.6,-3,-0.4,44% (4/9)
86,7,Dak Prescott,DAL,QB10,9, 6.6,-15,-1.1,53% (8/15)
87,7,Tony Pollard,DAL,RB32,9, 6.0,-8,+2.0,53% (8/15)
88,7,Rhamondre Stevenson,NE,RB33,10, 8.0,+4,+2.3,45% (5/11)
89,7,Devin Singletary,BUF,RB34,7, 6.2,-15,+1.4,56% (9/16)
